Name: Pamela Walker, Employee ID: 6792, Salary Bar: *************, Above Average: No
Name: Charlie Smith, Employee ID: 9207, Salary Bar: ****, Above Average: No
Name: Yvonne Garcia, Employee ID: 5860, Salary Bar: *******************, Above Average: No
Name: Charlie Lewis, Employee ID: 7645, Salary Bar: ***************, Above Average: No
Name: Luna Gonzalez, Employee ID: 4961, Salary Bar: **************, Above Average: No
Name: Bob Hernandez, Employee ID: 3984, Salary Bar: ***********************, Above Average: No
Name: Quincy Taylor, Employee ID: 6759, Salary Bar: *************, Above Average: No
Name: Zack Robinson, Employee ID: 2115, Salary Bar: *****, Above Average: No
Name: William Smith, Employee ID: 7629, Salary Bar: ***************, Above Average: No
Name: William Lewis, Employee ID: 1055, Salary Bar: ***************, Above Average: No
Name: Tina Robinson, Employee ID: 2067, Salary Bar: ************************, Above Average: No
Name: Yvonne Wilson, Employee ID: 6512, Salary Bar: *************, Above Average: No
Name: Xavier Walker, Employee ID: 4963, Salary Bar: ***********************, Above Average: No
Name: Ian Hernandez, Employee ID: 3690, Salary Bar: *********************, Above Average: No
Name: Hannah Taylor, Employee ID: 5777, Salary Bar: ********, Above Average: No
Name: Oliver Wilson, Employee ID: 9988, Salary Bar: **********, Above Average: No
Name: Hannah Miller, Employee ID: 2026, Salary Bar: ***********, Above Average: No
Name: Violet Walker, Employee ID: 8060, Salary Bar: *********, Above Average: No
Name: Zack Martinez, Employee ID: 2937, Salary Bar: *****************, Above Average: No
Name: Julia Jackson, Employee ID: 8260, Salary Bar: ***********************, Above Average: No
Name: Pamela Martin, Employee ID: 3897, Salary Bar: ******************, Above Average: No
Name: Grace Jackson, Employee ID: 9935, Salary Bar: ************************, Above Average: No
Name: Umar Williams, Employee ID: 3019, Salary Bar: *************, Above Average: No
Name: William Moore, Employee ID: 5145, Salary Bar: ************************, Above Average: No
Name: Alice Jackson, Employee ID: 4527, Salary Bar: ********, Above Average: No
Name: Rachel Thomas, Employee ID: 5516, Salary Bar: ******, Above Average: No
Name: Rachel Taylor, Employee ID: 2216, Salary Bar: *************, Above Average: No
Name: Pamela Taylor, Employee ID: 7004, Salary Bar: ********************, Above Average: No
Name: Hannah Garcia, Employee ID: 4953, Salary Bar: ****, Above Average: No
Name: Bob Hernandez, Employee ID: 4798, Salary Bar: **********, Above Average: No
Name: Xavier Walker, Employee ID: 6545, Salary Bar: ********, Above Average: No
Name: William Brown, Employee ID: 9320, Salary Bar: ******, Above Average: No
Name: Nora Thompson, Employee ID: 4734, Salary Bar: ******************, Above Average: No
Name: Yvonne Thomas, Employee ID: 6225, Salary Bar: **********************, Above Average: No
Name: Yvonne Thomas, Employee ID: 7521, Salary Bar: *************, Above Average: No
Name: Quincy Thomas, Employee ID: 9088, Salary Bar: ******************, Above Average: No
Name: William Brown, Employee ID: 8798, Salary Bar: *****************, Above Average: No
Name: Umar Gonzalez, Employee ID: 6809, Salary Bar: ********************, Above Average: No
Name: Pamela Martin, Employee ID: 5503, Salary Bar: ***************, Above Average: No
Name: Charlie Davis, Employee ID: 9654, Salary Bar: ****************, Above Average: No
Name: Quincy Taylor, Employee ID: 2156, Salary Bar: ******************, Above Average: No
Name: Charlie Moore, Employee ID: 1564, Salary Bar: ********, Above Average: No
Name: Charlie Brown, Employee ID: 7188, Salary Bar: *************, Above Average: No
Name: William Smith, Employee ID: 6586, Salary Bar: ********************, Above Average: No
Name: Oliver Walker, Employee ID: 3949, Salary Bar: ***********, Above Average: No
Name: Luna Thompson, Employee ID: 8071, Salary Bar: ********************, Above Average: No
Name: Tina Williams, Employee ID: 4524, Salary Bar: *******************, Above Average: No
Name: Hannah Wilson, Employee ID: 2931, Salary Bar: **********, Above Average: No
Name: Oliver Walker, Employee ID: 3584, Salary Bar: *******************, Above Average: No
Name: Pamela Taylor, Employee ID: 8548, Salary Bar: *********************, Above Average: No
Name: Violet Harris, Employee ID: 5054, Salary Bar: ************************, Above Average: No
Name: Charlie Lewis, Employee ID: 8880, Salary Bar: *****, Above Average: No
Name: Tina Anderson, Employee ID: 7995, Salary Bar: *********************, Above Average: No
Name: Umar Martinez, Employee ID: 8465, Salary Bar: ******, Above Average: No
Name: Yvonne Martin, Employee ID: 8847, Salary Bar: ***********************, Above Average: No
Name: Mike Gonzalez, Employee ID: 7886, Salary Bar: **********************, Above Average: No
Name: Quincy Wilson, Employee ID: 3444, Salary Bar: *****************, Above Average: No
Name: Mike Gonzalez, Employee ID: 3082, Salary Bar: ****************, Above Average: No
Name: Quincy Walker, Employee ID: 8025, Salary Bar: ************************, Above Average: No
Name: Charlie Perez, Employee ID: 1032, Salary Bar: *******************, Above Average: No
Name: Quincy Martin, Employee ID: 3076, Salary Bar: *************, Above Average: No
Name: Zack Williams, Employee ID: 2883, Salary Bar: ******, Above Average: No
Name: Umar Williams, Employee ID: 7156, Salary Bar: ************, Above Average: No
Name: Zack Martinez, Employee ID: 3833, Salary Bar: ************************, Above Average: No
Name: Mike Martinez, Employee ID: 1849, Salary Bar: **********, Above Average: No
Name: Umar Martinez, Employee ID: 8090, Salary Bar: *****************, Above Average: No
Name: Luna Robinson, Employee ID: 7128, Salary Bar: ********************, Above Average: No
Name: Violet Miller, Employee ID: 4995, Salary Bar: ********************, Above Average: No
Name: Rachel Thomas, Employee ID: 2092, Salary Bar: *****************, Above Average: No
Name: Rachel Martin, Employee ID: 2159, Salary Bar: ******, Above Average: No
Name: Pamela Harris, Employee ID: 2608, Salary Bar: *******************, Above Average: No
Name: Nora Gonzalez, Employee ID: 1479, Salary Bar: *********, Above Average: No
Name: Charlie Clark, Employee ID: 6429, Salary Bar: ************, Above Average: No
Name: Nora Gonzalez, Employee ID: 1237, Salary Bar: ******************, Above Average: No
Name: Nora Anderson, Employee ID: 7610, Salary Bar: *************, Above Average: No
Name: William Clark, Employee ID: 8891, Salary Bar: ******, Above Average: No
Name: Luna Anderson, Employee ID: 7169, Salary Bar: ****************, Above Average: No
Name: Zack Anderson, Employee ID: 3335, Salary Bar: ***********************, Above Average: No
Name: Mike Anderson, Employee ID: 9415, Salary Bar: **********************, Above Average: No
Name: Mike Martinez, Employee ID: 6821, Salary Bar: ********, Above Average: No
Name: Umar Gonzalez, Employee ID: 3534, Salary Bar: ***********************, Above Average: No
Name: Zack Thompson, Employee ID: 5671, Salary Bar: ******, Above Average: No
Name: Tina Thompson, Employee ID: 2576, Salary Bar: ***********************, Above Average: No
Name: Rachel Martin, Employee ID: 6600, Salary Bar: ***************, Above Average: No
Name: Tina Thompson, Employee ID: 8636, Salary Bar: *******************, Above Average: No
Name: Mike Martinez, Employee ID: 6174, Salary Bar: *******************, Above Average: No
Name: Tina Anderson, Employee ID: 1193, Salary Bar: ******, Above Average: No
Name: Pamela Miller, Employee ID: 6745, Salary Bar: ***************, Above Average: No
Name: Rachel Wilson, Employee ID: 6545, Salary Bar: *******, Above Average: No
Name: Rachel Harris, Employee ID: 5827, Salary Bar: *******, Above Average: No
Name: Violet Miller, Employee ID: 9294, Salary Bar: ********************, Above Average: No
Name: Hannah Wilson, Employee ID: 7811, Salary Bar: *********, Above Average: No
Name: Luna Robinson, Employee ID: 5292, Salary Bar: ***************, Above Average: No
Name: Yvonne Wilson, Employee ID: 4947, Salary Bar: ********************, Above Average: No
Name: Nora Robinson, Employee ID: 3028, Salary Bar: ********, Above Average: No
Name: Tina Thompson, Employee ID: 4030, Salary Bar: ***********************, Above Average: No
Name: Hannah Wilson, Employee ID: 9445, Salary Bar: ********************, Above Average: No
Name: Umar Martinez, Employee ID: 6462, Salary Bar: ************************, Above Average: No
Name: Zack Thompson, Employee ID: 7297, Salary Bar: ********************, Above Average: No
Name: Umar Robinson, Employee ID: 7556, Salary Bar: *******************, Above Average: No
Name: Yvonne Harris, Employee ID: 6554, Salary Bar: ***********************, Above Average: No
Name: Oliver Wilson, Employee ID: 6975, Salary Bar: ********, Above Average: No
Name: Luna Robinson, Employee ID: 1694, Salary Bar: ***********, Above Average: No
Name: Luna Martinez, Employee ID: 4625, Salary Bar: ****************, Above Average: No
Name: Pamela Miller, Employee ID: 9746, Salary Bar: ********************, Above Average: No
Name: Violet Harris, Employee ID: 1515, Salary Bar: ******************, Above Average: No
Name: Zack Anderson, Employee ID: 9828, Salary Bar: ******, Above Average: No
Name: Hannah Miller, Employee ID: 4708, Salary Bar: **********, Above Average: No
Name: Oliver Harris, Employee ID: 4350, Salary Bar: ***********************, Above Average: No
Name: Oliver Harris, Employee ID: 5877, Salary Bar: ********, Above Average: No
Name: Violet Harris, Employee ID: 7501, Salary Bar: *****************, Above Average: No
Name: Oliver Miller, Employee ID: 8633, Salary Bar: *******, Above Average: No
Name: Tina Thompson, Employee ID: 1261, Salary Bar: ************, Above Average: No
Name: Luna Anderson, Employee ID: 8184, Salary Bar: ****************, Above Average: No
Name: Tina Anderson, Employee ID: 3966, Salary Bar: *******, Above Average: No
Name: Hannah Harris, Employee ID: 7511, Salary Bar: *****************, Above Average: No
Name: Yvonne Miller, Employee ID: 6327, Salary Bar: ******************, Above Average: No
